trial_id,rec_name,speed_mult,speed_px,n_distractors,n_total,rec_span_s,play_duration_s,has_bouma_events,n_bouma_events,min_bouma_ratio,expected_load_speed,notes
1,rec_3,1.8,270.0,4,7,14.4,8.0,True,54,0.026,0.45,speed=1.8x distract=4
2,rec_3,0.5,75.0,4,7,4.0,8.0,True,12,0.034,0.125,speed=0.5x distract=4
3,rec_2,0.5,75.0,6,9,4.0,8.0,True,15,0.212,0.125,speed=0.5x distract=6
4,rec_2,1.8,270.0,6,9,14.4,8.0,True,54,0.016,0.45,speed=1.8x distract=6
5,rec_2,1.0,150.0,4,7,8.0,8.0,True,30,0.016,0.25,speed=1.0x distract=4
6,rec_2,0.5,75.0,2,5,4.0,8.0,True,15,0.212,0.125,speed=0.5x distract=2
7,rec_3,1.0,150.0,2,5,8.0,8.0,True,23,0.034,0.25,speed=1.0x distract=2
8,rec_1,0.5,75.0,4,7,4.0,8.0,True,14,0.061,0.125,speed=0.5x distract=4
9,rec_1,1.8,270.0,4,7,14.4,8.0,True,61,0.002,0.45,speed=1.8x distract=4
10,rec_2,0.5,75.0,4,7,4.0,8.0,True,15,0.212,0.125,speed=0.5x distract=4
11,rec_1,1.0,150.0,6,9,8.0,8.0,True,35,0.042,0.25,speed=1.0x distract=6
12,rec_1,0.5,75.0,2,5,4.0,8.0,True,14,0.061,0.125,speed=0.5x distract=2
13,rec_3,1.0,150.0,6,9,8.0,8.0,True,23,0.034,0.25,speed=1.0x distract=6
14,rec_1,1.0,150.0,2,5,8.0,8.0,True,35,0.042,0.25,speed=1.0x distract=2
15,rec_1,1.8,270.0,6,9,14.4,8.0,True,61,0.002,0.45,speed=1.8x distract=6
16,rec_1,1.0,150.0,4,7,8.0,8.0,True,35,0.042,0.25,speed=1.0x distract=4
17,rec_3,1.8,270.0,6,9,14.4,8.0,True,54,0.026,0.45,speed=1.8x distract=6
18,rec_1,1.8,270.0,2,5,14.4,8.0,True,61,0.002,0.45,speed=1.8x distract=2
19,rec_1,0.5,75.0,6,9,4.0,8.0,True,14,0.061,0.125,speed=0.5x distract=6
20,rec_2,1.8,270.0,4,7,14.4,8.0,True,54,0.016,0.45,speed=1.8x distract=4
